Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
CYGNUS NG-18	2024-06-28 04:22:04.833691	90.000000	17.767444	-6352904.267631	0.971845	6.434796	-4.121649
PROGRESS-MS 22	2024-06-28 04:25:04.833691	90.000000	27.768735	-6353722.590042	-0.279097	5.904272	-4.939001
ISS (NAUKA)	2024-06-28 04:31:04.833691	90.000000	44.147142	-6355705.116895	-2.693268	4.125907	-5.918626
FREGAT DEB	2024-06-28 04:32:04.833691	90.000000	-0.839326	-6353956.702687	-2.324421	4.603740	4.656904
CSS (WENTIAN)	2024-06-28 04:33:04.833691	90.000000	-16.252384	-6356603.920142	1.505389	5.589724	5.115464
SOYUZ-MS 22	2024-06-28 04:34:04.833691	-90.000000	51.529909	-6356719.527860	-3.753776	2.953814	-6.039162
CREW DRAGON 5	2024-06-28 04:35:04.833691	-90.000000	53.973748	-6356357.560502	-4.073887	2.532834	-6.022289
CSS (MENGTIAN)	2024-06-28 04:36:04.833691	90.000000	-7.238173	-6355693.079106	-0.058726	5.915731	4.969347
CYGNUS NG-18	2024-06-28 04:37:04.833691	-90.000000	58.921607	-6355640.931882	-4.654831	1.657360	-5.903309
TIANZHOU-5	2024-06-28 04:38:04.833691	90.000000	-1.026825	-6355108.930807	-1.104431	5.991812	4.751752
SHENZHOU-15	2024-06-28 04:39:04.833691	90.000000	2.178813	-6354828.043836	-1.620591	5.986710	4.608301
PROGRESS-MS 22	2024-06-28 04:40:04.833691	-90.000000	66.719474	-6354609.483502	-5.358331	0.291845	-5.517207
SL-4 R/B	2024-06-28 04:42:04.833691	90.000000	5.453981	-6353407.012042	-3.255379	5.313130	4.652557
ISS (ZARYA)	2024-06-28 04:43:04.833691	90.000000	24.023059	-6353421.359934	0.206439	6.118194	-4.676603
ISS DEB	2024-06-28 04:44:04.833691	-90.000000	-16.569668	-6355434.137587	0.257744	5.055436	-5.894485
FREGAT DEB	2024-06-28 04:47:04.833691	90.000000	46.174762	-6351063.961102	-6.623309	3.178524	1.290391
CSS (WENTIAN)	2024-06-28 04:48:04.833691	90.000000	36.411492	-6352862.358346	-5.634594	4.694186	2.434439
CSS (MENGTIAN)	2024-06-28 04:51:04.833691	90.000000	50.685307	-6352511.423818	-6.556039	3.823873	1.451156
TIANZHOU-5	2024-06-28 04:53:04.833691	90.000000	60.911087	-6352378.666844	-7.015279	3.149594	0.758141
SHENZHOU-15	2024-06-28 04:54:04.833691	90.000000	66.161516	-6352343.752226	-7.194864	2.788955	0.405335
ISS (ZARYA)	2024-06-28 04:58:04.833691	-90.000000	63.489652	-6354959.943910	-5.132651	0.810708	-5.679322
