Satellite Name	Time	Longitude	Latitude	Altitude	V(x) [km/s]	V(y) [km/s]	V(z) [km/s]
CREW DRAGON 5	2024-06-29 00:07:47.568168	90.000000	4.061130	-6352362.936214	2.433129	6.504357	-3.334649
CSS (MENGTIAN)	2024-06-29 00:08:47.568168	-90.000000	-26.937529	-6356326.181798	2.911833	5.023524	5.094621
CYGNUS NG-18	2024-06-29 00:09:47.568168	90.000000	12.047406	-6352803.320744	1.613862	6.386487	-3.993909
TIANZHOU-5	2024-06-29 00:10:47.568168	90.000000	-20.982129	-6356565.013317	1.933698	5.458147	5.113840
SHENZHOU-15	2024-06-29 00:11:47.568168	90.000000	-17.998764	-6356258.910949	1.429398	5.636652	5.086475
PROGRESS-MS 22	2024-06-29 00:12:47.568168	90.000000	22.292893	-6353600.964908	0.332664	5.985088	-4.837789
ISS DEB	2024-06-29 00:16:47.568168	-90.000000	42.173791	-6351671.057433	-6.115020	4.629532	-1.184388
ISS (NAUKA)	2024-06-29 00:18:47.568168	90.000000	38.916217	-6355558.329875	-2.217437	4.449302	-5.882026
FREGAT DEB	2024-06-29 00:19:47.568168	-90.000000	-26.114982	-6355586.253451	2.046873	3.566147	5.119267
CSS (WENTIAN)	2024-06-29 00:20:47.568168	90.000000	11.349839	-6353781.117987	-3.123141	5.965607	3.790710
SOYUZ-MS 22	2024-06-29 00:21:47.568168	90.000000	46.328641	-6356634.891903	-3.377830	3.380323	-6.037871
CREW DRAGON 5	2024-06-29 00:22:47.568168	-90.000000	48.770456	-6356507.491288	-3.734994	2.989873	-6.032842
CSS (MENGTIAN)	2024-06-29 00:23:47.568168	90.000000	23.169510	-6353168.019507	-4.456449	5.555870	2.997549
CYGNUS NG-18	2024-06-29 00:24:47.568168	-90.000000	53.696363	-6355788.184366	-4.394631	2.168822	-5.937323
TIANZHOU-5	2024-06-29 00:25:47.568168	90.000000	31.880569	-6352844.007366	-5.241650	5.148196	2.394529
SHENZHOU-15	2024-06-29 00:26:47.568168	90.000000	36.496252	-6352709.880962	-5.597344	4.906764	2.075009
PROGRESS-MS 22	2024-06-29 00:27:47.568168	-90.000000	61.413256	-6354747.539847	-5.224771	0.866523	-5.585003
ISS (ZARYA)	2024-06-29 00:30:47.568168	90.000000	19.540057	-6353396.200334	0.691995	6.100930	-4.652810
FREGAT DEB	2024-06-29 00:34:47.568168	90.000000	0.948503	-6353424.309425	-2.774199	4.693092	4.381425
ISS (ZARYA)	2024-06-29 00:45:47.568168	-90.000000	59.065268	-6354990.554915	-5.036284	1.222868	-5.691972
CSS (TIANHE)	2024-06-29 00:47:47.568168	90.000000	-14.517969	-6355909.203538	0.838132	5.808692	5.024323
FREGAT DEB	2024-06-29 00:49:47.568168	90.000000	53.120581	-6350941.466399	-6.813373	3.055233	0.689772
SOYUZ-MS 23	2024-06-29 00:58:47.568168	-90.000000	-28.222383	-6353143.873149	0.222832	6.317814	-4.401283
CSS (TIANHE)	2024-06-29 01:02:47.568168	90.000000	42.028292	-6352579.373624	-5.974225	4.598027	1.695180
SOYUZ-MS 23	2024-06-29 01:13:47.568168	-90.000000	51.039990	-6351617.177540	-4.791549	5.873430	1.311987
SL-4 R/B	2024-06-29 01:14:47.568168	90.000000	-19.298922	-6355641.258094	0.662714	4.955527	5.965719
SL-4 R/B	2024-06-29 01:29:47.568168	90.000000	37.109907	-6351801.738906	-5.992843	4.626860	1.750719
ISS DEB	2024-06-29 01:31:47.568168	-90.000000	-16.110792	-6354788.654311	-0.281203	5.335604	-5.639758
ISS (NAUKA)	2024-06-29 01:33:47.568168	90.000000	-23.805612	-6351607.397226	4.407440	6.187650	-1.282116
SOYUZ-MS 22	2024-06-29 01:36:47.568168	90.000000	-7.348367	-6351945.760816	3.388018	6.465236	-2.464338
CREW DRAGON 5	2024-06-29 01:37:47.568168	90.000000	-2.496272	-6352104.871830	3.013978	6.497187	-2.837559
CSS (MENGTIAN)	2024-06-29 01:38:47.568168	-90.000000	-29.071074	-6356148.772526	3.219976	4.856657	5.070564
CYGNUS NG-18	2024-06-29 01:39:47.568168	90.000000	6.277576	-6352488.233437	2.224983	6.469086	-3.542070
TIANZHOU-5	2024-06-29 01:40:47.568168	90.000000	-23.106035	-6356743.592655	2.259492	5.326829	5.118430
SHENZHOU-15	2024-06-29 01:41:47.568168	90.000000	-20.128825	-6356436.784840	1.761682	5.524110	5.105395
PROGRESS-MS 22	2024-06-29 01:42:47.568168	90.000000	17.437671	-6353211.812123	0.967467	6.198940	-4.469571
ISS DEB	2024-06-29 01:46:47.568168	-90.000000	48.191963	-6351612.016028	-6.337054	4.415792	-0.754188
ISS (NAUKA)	2024-06-29 01:48:47.568168	90.000000	35.027455	-6355073.070045	-1.616028	4.893273	-5.723932
CSS (WENTIAN)	2024-06-29 01:50:47.568168	90.000000	8.821068	-6353915.801528	-2.805779	6.035044	3.926509
SOYUZ-MS 22	2024-06-29 01:51:47.568168	90.000000	42.594346	-6356131.688409	-2.832148	3.913249	-5.997280
CREW DRAGON 5	2024-06-29 01:52:47.568168	90.000000	45.046909	-6356492.691393	-3.213190	3.547552	-6.032035
CSS (MENGTIAN)	2024-06-29 01:53:47.568168	90.000000	20.372187	-6353275.529541	-4.172416	5.683476	3.162611
CYGNUS NG-18	2024-06-29 01:54:47.568168	-90.000000	49.934742	-6356287.958752	-3.927858	2.767934	-6.015856
TIANZHOU-5	2024-06-29 01:55:47.568168	90.000000	28.882429	-6352930.742582	-4.986742	5.311656	2.575191
SHENZHOU-15	2024-06-29 01:56:47.568168	90.000000	33.397716	-6352785.577806	-5.358868	5.087012	2.262181
PROGRESS-MS 22	2024-06-29 01:57:47.568168	-90.000000	57.438780	-6355222.684335	-4.856643	1.506260	-5.779141
ISS (ZARYA)	2024-06-29 02:00:47.568168	90.000000	14.581737	-6353029.835301	1.314509	6.276181	-4.270126
ISS (ZARYA)	2024-06-29 02:15:47.568168	-90.000000	55.222152	-6355464.719929	-4.645326	1.841765	-5.856577
CSS (TIANHE)	2024-06-29 02:17:47.568168	90.000000	-16.699610	-6356088.790051	1.181925	5.716760	5.060266
FREGAT DEB	2024-06-29 02:19:47.568168	-90.000000	-26.464161	-6355564.030148	2.082596	3.546374	5.114920
SOYUZ-MS 23	2024-06-29 02:28:47.568168	-90.000000	-31.007424	-6353340.302185	0.544897	6.152885	-4.604328
CSS (TIANHE)	2024-06-29 02:32:47.568168	90.000000	38.763371	-6352643.267937	-5.752251	4.799674	1.892602
